,2021-Blockzilla,Website,rank,2014-Blockzilla,2015-Blockzilla,2016-Blockzilla,2017-Blockzilla,2018-Blockzilla,2019-Blockzilla,2020-Blockzilla
178,3,google.com,1.0,3,3,3,3,3,3,6
98,1,baidu.com,5.0,1,1,1,1,1,1,1
314,7,sohu.com,6.0,6,10,21,10,1,7,8
148,2,facebook.com,7.0,1,1,1,1,2,1,2
63,1,360.cn,10.0,3,3,3,1,1,1,1
368,2,yahoo.com,12.0,1,1,1,1,1,1,2
364,1,wikipedia.org,14.0,1,1,1,1,1,1,1
265,4,netflix.com,16.0,8,1,3,4,4,4,4
211,1,instagram.com,20.0,2,2,3,5,5,2,2
84,2,alipay.com,21.0,2,2,1,1,1,1,1
101,1,bing.com,27.0,11,4,1,1,1,1,1
49,3,stackoverflow.com,35.0,5,4,3,4,3,3,3
374,2,zoom.us,36.0,2,2,5,7,11,6,2
325,1,tianya.cn,40.0,1,1,1,1,1,1,1
7,23,chaturbate.com,43.0,8,2,2,14,14,5,3
82,1,amazon.co.jp,44.0,3,3,3,2,4,8,8
260,7,naver.com,45.0,5,5,4,5,5,5,5
357,1,whatsapp.com,49.0,7,6,5,2,2,2,2
312,1,so.com,52.0,1,1,1,1,1,1,1
309,8,shopify.com,54.0,6,4,4,1,4,5,12
336,3,tradingview.com,58.0,3,3,2,2,4,7,4
215,7,imdb.com,63.0,1,1,3,3,4,8,5
377,5,xhamster.com,68.0,2,2,4,3,4,2,3
218,3,indeed.com,69.0,8,8,7,4,3,1,3
288,1,rakuten.co.jp,72.0,3,4,3,3,3,2,2
369,1,xvideos.com,75.0,1,1,1,1,1,1,1
69,3,6.cn,76.0,5,3,3,3,3,3,3
356,4,walmart.com,77.0,4,8,3,7,6,6,4
85,1,amazon.de,78.0,3,3,3,3,3,8,6
110,3,booking.com,79.0,10,19,10,7,7,8,5
173,1,gome.com.cn,81.0,3,1,1,0,7,1,1
94,20,babytree.com,85.0,42,78,81,66,74,55,20
338,1,udemy.com,86.0,2,1,4,2,2,1,1
55,1,telegram.org,87.0,9,1,1,1,1,1,1
118,6,chase.com,90.0,8,11,15,6,3,5,5
74,2,alibaba.com,94.0,2,1,1,3,1,6,6
295,2,roblox.com,95.0,13,9,8,6,4,3,3
160,0,flipkart.com,98.0,10,27,17,9,21,7,0
198,2,hao123.com,99.0,1,10,15,18,12,13,2
162,8,freepik.com,102.0,15,1,3,7,0,5,6
294,1,rednet.cn,103.0,2,4,1,3,0,2,2
66,12,163.com,105.0,40,0,39,31,0,0,0
219,1,instructure.com,106.0,9,14,1,2,2,6,3
196,1,hotstar.com,107.0,9,3,7,10,11,1,2
96,8,bestbuy.com,108.0,5,4,3,4,5,10,7
189,4,google.de,109.0,3,3,3,3,3,4,4
100,7,bilibili.com,110.0,1,1,1,0,15,34,4
133,3,digikala.com,111.0,3,2,2,2,3,13,26
152,0,ettoday.net,118.0,0,12,0,13,20,13,0
302,3,salesforce.com,120.0,11,3,9,23,19,16,6
12,8,coinmarketcap.com,122.0,11,2,2,2,7,15,22
341,4,tumblr.com,124.0,6,10,9,5,6,6,4
187,7,grammarly.com,126.0,15,20,5,3,4,12,13
373,16,zillow.com,128.0,6,7,3,7,7,16,14
48,2,stackexchange.com,130.0,2,4,2,2,2,2,2
231,12,kompas.com,134.0,0,0,51,39,11,27,19
286,13,pixnet.net,140.0,13,9,10,11,12,1,20
97,31,bbc.co.uk,141.0,4,33,35,8,1,1,1
193,5,google.com.tw,142.0,3,2,1,1,3,4,4
132,33,detik.com,143.0,56,36,27,0,5,12,29
326,3,target.com,147.0,1,1,1,9,1,4,3
183,4,google.com.sg,150.0,1,3,3,1,1,4,4
284,3,pexels.com,151.0,9,11,10,10,4,6,4
129,7,daum.net,152.0,18,17,15,6,10,8,3
156,1,fiverr.com,153.0,21,6,5,3,19,9,13
65,1,wetransfer.com,155.0,2,4,3,3,4,1,1
6,0,archive.org,156.0,0,0,0,0,0,0,2
362,5,wix.com,160.0,5,14,2,5,4,7,7
367,5,zendesk.com,161.0,11,4,3,15,10,6,7
272,1,onlinesbi.com,163.0,1,1,1,1,2,1,1
216,1,indiatimes.com,164.0,15,9,6,10,11,7,13
